scenario,seed,mode,success,dropped,false_trigger,reflex_applied,reflex_latency_ms,max_relative_z_m,final_box_z_m
calibration_ramp,42,none,False,True,False,False,,0.3074444870009362,0.7647893677797302
calibration_ramp,42,rule,True,False,False,True,377.9999999997399,0.08003052845099679,1.0128486514963453
calibration_ramp,42,snn,True,False,False,True,293.99999999974915,0.08003052845099679,1.012859083827397
calibration_ramp,42,snn_rule,True,False,False,True,293.99999999974915,0.08003052845099679,1.012859083827397
transport_fast,42,none,True,False,False,False,,0.08003052845099679,1.0135870424211677
transport_fast,42,rule,True,False,False,True,99.99999999979225,0.08003052845099679,1.01350470860556
transport_fast,42,snn,True,False,False,True,5.999999999802608,0.08003052845099679,1.0135052498912518
transport_fast,42,snn_rule,True,False,False,True,5.999999999802608,0.08003052845099679,1.0135052498912518
lateral_impulse,42,none,True,False,False,False,,0.08003052845099679,1.012931156679605
lateral_impulse,42,rule,True,False,False,True,93.99999999977115,0.08003052845099679,1.013320216687387
lateral_impulse,42,snn,True,False,False,True,9.999999999780407,0.08003052845099679,1.013707204407258
lateral_impulse,42,snn_rule,True,False,False,True,9.999999999780407,0.08003052845099679,1.013707204407258
heavy_low_friction,42,none,False,True,False,False,,0.31791966261502647,0.7646870400029988
heavy_low_friction,42,rule,False,True,False,True,85.99999999977203,0.3179280879822739,0.7646873514450694
heavy_low_friction,42,snn,True,False,False,True,5.999999999780847,0.08010671604931274,1.0116163578499682
heavy_low_friction,42,snn_rule,True,False,False,True,5.999999999780847,0.08010671604931274,1.0116163578499682
offset_grasp,42,none,False,True,False,False,,0.3035669264499631,0.7647890828284736
offset_grasp,42,rule,True,False,False,True,151.99999999976478,0.08003052845099679,0.9892514045790645
offset_grasp,42,snn,True,False,False,True,71.99999999977358,0.08003052845099679,1.0133099881648358
offset_grasp,42,snn_rule,True,False,False,True,71.99999999977358,0.08003052845099679,1.0133099881648358
no_disturbance,42,none,True,False,False,False,,0.08003052845099679,1.0138375297258158
no_disturbance,42,rule,True,False,False,False,,0.08003052845099679,1.0138375297258158
no_disturbance,42,snn,True,False,False,False,,0.08003052845099679,1.0138375297258158
no_disturbance,42,snn_rule,True,False,False,False,,0.08003052845099679,1.0138375297258158
